HRmean,HRmax,HRmin,HalfHourBeforeSleep,DeepSleepBegin,LightSleep,DeepSleep
63,78,55,2021-08-09T23:25:00.000+01:00,2021-08-09T23:55:00.000+01:00,418,143
66,71,59,2021-08-10T23:27:00.000+01:00,2021-08-10T23:57:00.000+01:00,362,155
86,109,70,2021-08-12T00:56:00.000+01:00,2021-08-12T02:16:00.000+01:00,314,159
73,93,56,2021-08-12T23:16:00.000+01:00,2021-08-12T23:46:00.000+01:00,323,199
78,96,64,2021-08-14T00:51:00.000+01:00,2021-08-14T01:59:00.000+01:00,273,129
76,104,66,2021-08-15T05:05:00.000+01:00,2021-08-15T05:45:00.000+01:00,175,54
89,117,71,2021-08-17T02:25:00.000+01:00,2021-08-17T03:04:00.000+01:00,206,207
72,107,57,2021-08-18T00:10:00.000+01:00,2021-08-18T01:02:00.000+01:00,263,177
54,75,48,2021-08-19T02:39:00.000+01:00,2021-08-19T03:24:00.000+01:00,266,116
81,104,71,2021-08-20T02:33:00.000+01:00,2021-08-20T03:16:00.000+01:00,312,103
79,103,55,2021-08-22T04:49:00.000+01:00,2021-08-22T05:49:00.000+01:00,160,153
71,85,66,2021-08-24T00:10:00.000+01:00,2021-08-24T01:22:00.000+01:00,365,224
75,103,55,2021-08-25T01:23:00.000+01:00,2021-08-25T02:02:00.000+01:00,375,182
91,110,70,2021-08-27T01:56:00.000+01:00,2021-08-27T02:36:00.000+01:00,280,183
84,106,75,2021-08-28T04:05:00.000+01:00,2021-08-28T05:45:00.000+01:00,283,99
77,103,55,2021-08-29T01:28:00.000+01:00,2021-08-29T04:28:00.000+01:00,418,100
60,75,49,2021-08-30T00:03:00.000+01:00,2021-08-30T00:54:00.000+01:00,298,137
83,105,69,2021-09-01T05:14:00.000+01:00,2021-09-01T05:54:00.000+01:00,121,177
57,59,55,2021-09-03T02:09:00.000+01:00,2021-09-03T04:31:00.000+01:00,407,51
63,85,54,2021-09-03T23:43:00.000+01:00,2021-09-04T00:47:00.000+01:00,387,232
51,51,51,2021-09-05T04:10:00.000+01:00,2021-09-05T05:11:00.000+01:00,74,63
65,108,48,2021-09-05T23:44:00.000+01:00,2021-09-06T00:29:00.000+01:00,294,313
86,107,66,2021-09-07T01:29:00.000+01:00,2021-09-07T05:01:00.000+01:00,408,118
69,97,54,2021-09-09T23:47:00.000+01:00,2021-09-10T00:39:00.000+01:00,384,252
69,76,55,2021-09-13T01:12:00.000+01:00,2021-09-13T01:42:00.000+01:00,358,198
57,60,55,2021-09-14T02:44:00.000+01:00,2021-09-14T03:53:00.000+01:00,330,184
63,75,52,2021-09-15T01:19:00.000+01:00,2021-09-15T03:04:00.000+01:00,339,154
67,106,48,2021-09-17T03:35:00.000+01:00,2021-09-17T04:20:00.000+01:00,302,139
75,104,47,2021-09-18T01:29:00.000+01:00,2021-09-18T02:24:00.000+01:00,198,227
76,86,71,2021-09-20T02:16:00.000+01:00,2021-09-20T03:10:00.000+01:00,272,220
74,82,50,2021-09-22T01:37:00.000+01:00,2021-09-22T02:20:00.000+01:00,333,163
82,129,54,2021-09-23T03:25:00.000+01:00,2021-09-23T04:19:00.000+01:00,310,143
78,86,71,2021-09-24T00:46:00.000+01:00,2021-09-24T04:50:00.000+01:00,349,162
74,105,50,2021-09-25T01:36:00.000+01:00,2021-09-25T03:10:00.000+01:00,383,147
82,105,71,2021-09-26T04:15:00.000+01:00,2021-09-26T05:07:00.000+01:00,239,136
73,104,55,2021-09-28T01:04:00.000+01:00,2021-09-28T01:36:00.000+01:00,443,110
77,94,74,2021-09-29T00:14:00.000+01:00,2021-09-29T01:39:00.000+01:00,428,105
65,76,55,2021-09-30T23:49:00.000+01:00,2021-10-01T03:01:00.000+01:00,403,178
66,85,49,2021-10-02T00:45:00.000+01:00,2021-10-02T01:43:00.000+01:00,273,229
69,78,47,2021-10-03T01:15:00.000+01:00,2021-10-03T02:29:00.000+01:00,289,159
55,55,55,2021-10-04T01:09:00.000+01:00,2021-10-04T02:41:00.000+01:00,205,111
67,81,54,2021-10-06T00:26:00.000+01:00,2021-10-06T01:12:00.000+01:00,352,214
82,104,71,2021-10-07T23:29:00.000+01:00,2021-10-08T02:55:00.000+01:00,485,150
75,123,48,2021-10-08T23:39:00.000+01:00,2021-10-09T00:48:00.000+01:00,405,132
58,78,45,2021-10-10T23:28:00.000+01:00,2021-10-10T23:58:00.000+01:00,212,235
97,126,75,2021-10-12T00:01:00.000+01:00,2021-10-12T03:59:00.000+01:00,344,64
60,79,48,2021-10-12T23:03:00.000+01:00,2021-10-12T23:33:00.000+01:00,383,170
64,80,47,2021-10-13T22:55:00.000+01:00,2021-10-14T00:27:00.000+01:00,340,140
67,95,47,2021-10-14T23:44:00.000+01:00,2021-10-15T00:31:00.000+01:00,365,133
76,104,63,2021-10-16T00:51:00.000+01:00,2021-10-16T02:41:00.000+01:00,330,90
77,101,48,2021-10-16T23:08:00.000+01:00,2021-10-17T00:31:00.000+01:00,366,136
75,81,71,2021-10-17T23:16:00.000+01:00,2021-10-18T00:10:00.000+01:00,310,206
56,66,54,2021-10-18T23:04:00.000+01:00,2021-10-19T00:01:00.000+01:00,297,165
69,116,55,2021-10-19T23:39:00.000+01:00,2021-10-20T01:00:00.000+01:00,305,210
66,77,61,2021-10-20T23:25:00.000+01:00,2021-10-21T00:06:00.000+01:00,298,149
47,49,45,2021-10-22T23:25:00.000+01:00,2021-10-22T23:55:00.000+01:00,312,195
64,102,48,2021-10-23T23:27:00.000+01:00,2021-10-24T00:07:00.000+01:00,405,206
71,76,63,2021-10-24T23:25:00.000+01:00,2021-10-24T23:55:00.000+01:00,271,179
92,115,75,2021-10-25T23:28:00.000+01:00,2021-10-26T00:21:00.000+01:00,297,150
53,75,47,2021-10-27T22:33:00.000+01:00,2021-10-28T00:25:00.000+01:00,357,144
50,56,48,2021-10-29T00:35:00.000+01:00,2021-10-29T01:36:00.000+01:00,302,155
78,116,72,2021-10-29T23:35:00.000+01:00,2021-10-30T00:22:00.000+01:00,241,150
80,104,74,2021-10-30T23:27:00.000+01:00,2021-10-31T00:18:00.000+01:00,356,198
82,100,55,2021-11-01T03:01:00.000Z,2021-11-01T03:36:00.000Z,216,80
61,76,41,2021-11-01T23:23:00.000Z,2021-11-01T23:53:00.000Z,336,96
77,100,64,2021-11-02T22:11:00.000Z,2021-11-03T00:33:00.000Z,412,148
53,59,48,2021-11-03T23:07:00.000Z,2021-11-04T00:20:00.000Z,287,181
109,133,75,2021-11-05T04:50:00.000Z,2021-11-05T07:45:00.000Z,168,14
