Begin,End,Activity,HRmean,HRmax,HRmin
2020-06-16T04:43:00.000+01:00, 2020-06-16T07:41:00.000+01:00, Light sleep, 58, 94, 47, 
2020-06-16T07:41:00.000+01:00, 2020-06-16T08:12:00.000+01:00, Deep sleep, 59, 67, 53, 
2020-06-16T08:12:00.000+01:00, 2020-06-16T08:29:00.000+01:00, Light sleep, 64, 75, 57, 
2020-06-18T06:30:00.000+01:00, 2020-06-18T08:46:00.000+01:00, Light sleep, 55, 76, 47, 
2020-06-18T08:46:00.000+01:00, 2020-06-18T09:05:00.000+01:00, Deep sleep, 55, 59, 48, 
2020-06-18T09:05:00.000+01:00, 2020-06-18T09:21:00.000+01:00, Light sleep, 77, 94, 56, 
2020-06-19T01:39:00.000+01:00, 2020-06-19T02:17:00.000+01:00, Deep sleep, 53, 57, 48, 
2020-06-19T02:17:00.000+01:00, 2020-06-19T02:41:00.000+01:00, Light sleep, 61, 86, 54, 
2020-06-19T02:41:00.000+01:00, 2020-06-19T03:18:00.000+01:00, Deep sleep, 56, 63, 55, 
2020-06-19T03:18:00.000+01:00, 2020-06-19T04:40:00.000+01:00, Light sleep, 63, 86, 48, 
2020-06-19T04:40:00.000+01:00, 2020-06-19T04:56:00.000+01:00, Deep sleep, 54, 56, 48, 
2020-06-19T04:56:00.000+01:00, 2020-06-19T05:16:00.000+01:00, Light sleep, 66, 94, 48, 
2020-06-19T05:16:00.000+01:00, 2020-06-19T05:36:00.000+01:00, Deep sleep, 55, 59, 47, 
2020-06-19T05:36:00.000+01:00, 2020-06-19T06:11:00.000+01:00, Light sleep, 69, 76, 48, 
2020-06-19T06:11:00.000+01:00, 2020-06-19T06:46:00.000+01:00, Deep sleep, 52, 59, 47, 
2020-06-19T06:46:00.000+01:00, 2020-06-19T07:40:00.000+01:00, Light sleep, 62, 93, 48, 
2020-06-19T07:40:00.000+01:00, 2020-06-19T07:50:00.000+01:00, Deep sleep, 53, 55, 48, 
2020-06-19T07:50:00.000+01:00, 2020-06-19T08:06:00.000+01:00, Light sleep, 55, 78, 47, 
2020-06-19T08:06:00.000+01:00, 2020-06-19T08:26:00.000+01:00, Deep sleep, 56, 61, 54, 
2020-06-19T08:26:00.000+01:00, 2020-06-19T09:30:00.000+01:00, Light sleep, 64, 94, 48, 
2020-06-23T04:21:00.000+01:00, 2020-06-23T04:52:00.000+01:00, Deep sleep, 47, 47, 47, 
2020-06-23T08:07:00.000+01:00, 2020-06-23T09:23:00.000+01:00, Light sleep, 53, 55, 50, 
2020-07-17T04:02:00.000+01:00, 2020-07-17T04:43:00.000+01:00, Light sleep, 53, 60, 48, 
2020-07-17T04:43:00.000+01:00, 2020-07-17T05:10:00.000+01:00, Deep sleep, 49, 53, 46, 
2020-07-17T05:10:00.000+01:00, 2020-07-17T05:20:00.000+01:00, Light sleep, 50, 71, 48, 
2020-07-17T05:20:00.000+01:00, 2020-07-17T05:57:00.000+01:00, Deep sleep, 49, 55, 47, 
2020-07-17T05:57:00.000+01:00, 2020-07-17T06:36:00.000+01:00, Light sleep, 54, 78, 43, 
2020-07-17T06:36:00.000+01:00, 2020-07-17T07:00:00.000+01:00, Deep sleep, 55, 85, 48, 
2020-07-17T07:00:00.000+01:00, 2020-07-17T07:10:00.000+01:00, Light sleep, 64, 75, 48, 
2020-07-17T07:10:00.000+01:00, 2020-07-17T07:30:00.000+01:00, Deep sleep, 58, 75, 51, 
2020-07-17T07:30:00.000+01:00, 2020-07-17T08:11:00.000+01:00, Light sleep, 53, 75, 41, 
2020-07-23T04:10:00.000+01:00, 2020-07-23T04:30:00.000+01:00, Deep sleep, null
2020-07-23T05:55:00.000+01:00, 2020-07-23T06:06:00.000+01:00, Light sleep, null
2020-07-25T06:24:00.000+01:00, 2020-07-25T06:52:00.000+01:00, Light sleep, 75, 75, 75, 
2020-07-25T06:52:00.000+01:00, 2020-07-25T07:14:00.000+01:00, Deep sleep, null
2020-07-25T07:14:00.000+01:00, 2020-07-25T08:31:00.000+01:00, Light sleep, 51, 78, 42, 
2020-07-25T08:31:00.000+01:00, 2020-07-25T09:13:00.000+01:00, Deep sleep, 51, 81, 48, 
2020-07-25T09:13:00.000+01:00, 2020-07-25T09:34:00.000+01:00, Light sleep, 45, 54, 41, 
2020-07-25T09:34:00.000+01:00, 2020-07-25T09:51:00.000+01:00, Deep sleep, 47, 49, 46, 
2020-07-30T01:22:00.000+01:00, 2020-07-30T01:33:00.000+01:00, Light sleep, 71, 76, 54, 
2020-07-30T01:33:00.000+01:00, 2020-07-30T02:07:00.000+01:00, Deep sleep, 50, 59, 48, 
2020-07-30T02:07:00.000+01:00, 2020-07-30T02:32:00.000+01:00, Light sleep, 54, 78, 47, 
2020-07-30T02:32:00.000+01:00, 2020-07-30T02:47:00.000+01:00, Deep sleep, 61, 75, 55, 
2020-07-30T02:47:00.000+01:00, 2020-07-30T03:13:00.000+01:00, Light sleep, 55, 74, 48, 
2020-07-30T03:13:00.000+01:00, 2020-07-30T03:58:00.000+01:00, Deep sleep, 49, 59, 47, 
2020-07-30T03:58:00.000+01:00, 2020-07-30T04:08:00.000+01:00, Light sleep, 50, 55, 47, 
2020-07-30T04:08:00.000+01:00, 2020-07-30T04:46:00.000+01:00, Deep sleep, 51, 59, 47, 
2020-07-30T04:46:00.000+01:00, 2020-07-30T04:57:00.000+01:00, Light sleep, 64, 85, 55, 
2020-07-30T04:57:00.000+01:00, 2020-07-30T05:32:00.000+01:00, Deep sleep, 64, 73, 59, 
2020-07-30T05:32:00.000+01:00, 2020-07-30T06:54:00.000+01:00, Light sleep, 60, 84, 48, 
2020-07-30T06:54:00.000+01:00, 2020-07-30T07:22:00.000+01:00, Deep sleep, 56, 64, 55, 
2020-07-30T07:22:00.000+01:00, 2020-07-30T08:01:00.000+01:00, Light sleep, 62, 85, 48, 
2020-07-30T08:01:00.000+01:00, 2020-07-30T08:20:00.000+01:00, Deep sleep, 60, 75, 48, 
2020-07-30T08:20:00.000+01:00, 2020-07-30T08:33:00.000+01:00, Light sleep, 64, 75, 48, 
2020-07-30T08:33:00.000+01:00, 2020-07-30T08:57:00.000+01:00, Deep sleep, 50, 55, 48, 
2020-08-09T23:02:00.000+01:00, 2020-08-09T23:53:00.000+01:00, Light sleep, 70, 78, 55, 
2020-08-18T04:51:00.000+01:00, 2020-08-18T05:05:00.000+01:00, Deep sleep, 56, 58, 55, 
2020-09-01T10:10:00.000+01:00, 2020-09-01T10:42:00.000+01:00, Light sleep, 63, 63, 63, 
2020-09-24T02:25:00.000+01:00, 2020-09-24T02:35:00.000+01:00, Light sleep, 59, 59, 59, 
2020-09-24T03:08:00.000+01:00, 2020-09-24T03:18:00.000+01:00, Light sleep, 94, 94, 94, 
2020-09-24T03:18:00.000+01:00, 2020-09-24T03:34:00.000+01:00, Deep sleep, 49, 49, 49, 
2020-09-24T05:21:00.000+01:00, 2020-09-24T07:48:00.000+01:00, Light sleep, 66, 95, 44, 
2020-09-27T04:50:00.000+01:00, 2020-09-27T05:17:00.000+01:00, Light sleep, 56, 56, 56, 
2020-09-27T06:28:00.000+01:00, 2020-09-27T07:49:00.000+01:00, Light sleep, 60, 86, 47, 
2020-09-27T07:49:00.000+01:00, 2020-09-27T08:02:00.000+01:00, Deep sleep, 49, 49, 49, 
2020-09-27T08:02:00.000+01:00, 2020-09-27T09:20:00.000+01:00, Light sleep, 55, 94, 46, 
2020-09-27T09:20:00.000+01:00, 2020-09-27T09:33:00.000+01:00, Deep sleep, 48, 49, 48, 
2020-09-27T09:33:00.000+01:00, 2020-09-27T09:41:00.000+01:00, Light sleep, 59, 75, 48, 
2020-10-05T01:04:00.000+01:00, 2020-10-05T01:33:00.000+01:00, Light sleep, 67, 78, 55, 
2020-10-05T01:33:00.000+01:00, 2020-10-05T02:03:00.000+01:00, Deep sleep, 53, 57, 48, 
2020-10-05T02:03:00.000+01:00, 2020-10-05T03:11:00.000+01:00, Light sleep, 52, 75, 44, 
2020-10-05T03:11:00.000+01:00, 2020-10-05T03:46:00.000+01:00, Deep sleep, 51, 54, 48, 
2020-10-05T03:46:00.000+01:00, 2020-10-05T04:34:00.000+01:00, Light sleep, 57, 78, 48, 
2020-10-05T04:34:00.000+01:00, 2020-10-05T05:07:00.000+01:00, Deep sleep, 56, 76, 48, 
2020-10-05T05:07:00.000+01:00, 2020-10-05T05:17:00.000+01:00, Light sleep, 67, 93, 48, 
2020-10-05T05:17:00.000+01:00, 2020-10-05T05:45:00.000+01:00, Deep sleep, null
2020-10-05T05:45:00.000+01:00, 2020-10-05T06:22:00.000+01:00, Light sleep, 53, 75, 47, 
2020-10-05T06:22:00.000+01:00, 2020-10-05T07:05:00.000+01:00, Deep sleep, 51, 74, 47, 
2020-10-05T07:05:00.000+01:00, 2020-10-05T08:10:00.000+01:00, Light sleep, 56, 75, 45, 
2020-10-05T08:10:00.000+01:00, 2020-10-05T08:31:00.000+01:00, Deep sleep, 49, 59, 47, 
2020-10-05T08:31:00.000+01:00, 2020-10-05T09:30:00.000+01:00, Light sleep, 52, 78, 45, 
2020-10-11T02:12:00.000+01:00, 2020-10-11T02:28:00.000+01:00, Deep sleep, 55, 55, 55, 
2020-10-11T05:06:00.000+01:00, 2020-10-11T05:30:00.000+01:00, Deep sleep, null
2020-10-11T23:43:00.000+01:00, 2020-10-11T23:53:00.000+01:00, Light sleep, 71, 71, 71, 
2020-10-15T23:26:00.000+01:00, 2020-10-15T23:35:00.000+01:00, Light sleep, 52, 56, 48, 
2020-10-18T04:52:00.000+01:00, 2020-10-18T05:31:00.000+01:00, Deep sleep, 52, 55, 48, 
2020-10-18T06:32:00.000+01:00, 2020-10-18T06:45:00.000+01:00, Deep sleep, 48, 48, 48, 
2020-10-18T08:03:00.000+01:00, 2020-10-18T08:16:00.000+01:00, Deep sleep, 50, 53, 48, 
2020-10-18T08:16:00.000+01:00, 2020-10-18T09:17:00.000+01:00, Light sleep, 57, 75, 49, 
2020-10-18T23:36:00.000+01:00, 2020-10-18T23:56:00.000+01:00, Light sleep, 62, 85, 54, 
2020-10-20T01:57:00.000+01:00, 2020-10-20T02:11:00.000+01:00, Deep sleep, null
2020-10-20T02:25:00.000+01:00, 2020-10-20T02:50:00.000+01:00, Deep sleep, null
2020-10-21T23:39:00.000+01:00, 2020-10-21T23:41:00.000+01:00, Light sleep, 59, 59, 59, 
2020-10-21T23:49:00.000+01:00, 2020-10-21T23:50:00.000+01:00, Light sleep, null
2020-10-28T22:49:00.000Z, 2020-10-28T23:13:00.000Z, Light sleep, 62, 75, 55, 
2020-10-28T23:13:00.000Z, 2020-10-28T23:27:00.000Z, Deep sleep, 59, 63, 55, 
2020-10-28T23:27:00.000Z, 2020-10-28T23:45:00.000Z, Light sleep, 62, 64, 60, 
2020-10-29T02:37:00.000Z, 2020-10-29T02:55:00.000Z, Deep sleep, null
2020-11-08T08:52:00.000Z, 2020-11-08T09:23:00.000Z, Light sleep, 58, 59, 57, 
2020-11-11T01:25:00.000Z, 2020-11-11T01:45:00.000Z, Light sleep, 58, 74, 55, 
2020-11-11T01:45:00.000Z, 2020-11-11T02:22:00.000Z, Deep sleep, 54, 64, 48, 
2020-11-11T02:22:00.000Z, 2020-11-11T02:33:00.000Z, Light sleep, 59, 77, 55, 
2020-11-11T02:33:00.000Z, 2020-11-11T02:45:00.000Z, Deep sleep, null
2020-11-11T02:45:00.000Z, 2020-11-11T03:40:00.000Z, Light sleep, 60, 76, 48, 
2020-11-11T03:40:00.000Z, 2020-11-11T04:00:00.000Z, Deep sleep, 57, 63, 52, 
2020-11-11T04:00:00.000Z, 2020-11-11T04:28:00.000Z, Light sleep, 59, 94, 50, 
2020-11-11T04:28:00.000Z, 2020-11-11T04:41:00.000Z, Deep sleep, null
2020-11-11T04:41:00.000Z, 2020-11-11T04:52:00.000Z, Light sleep, 52, 52, 52, 
2020-11-11T04:52:00.000Z, 2020-11-11T05:11:00.000Z, Deep sleep, 55, 64, 53, 
2020-11-11T05:11:00.000Z, 2020-11-11T07:48:00.000Z, Light sleep, 57, 94, 47, 
2020-11-11T07:48:00.000Z, 2020-11-11T08:04:00.000Z, Deep sleep, 53, 56, 48, 
2020-11-11T08:04:00.000Z, 2020-11-11T08:15:00.000Z, Light sleep, 62, 95, 54, 
2020-11-11T23:24:00.000Z, 2020-11-11T23:49:00.000Z, Light sleep, 65, 65, 65, 
2020-11-11T23:49:00.000Z, 2020-11-11T23:57:00.000Z, Light sleep, null
2020-11-24T21:40:00.000Z, 2020-11-24T22:47:00.000Z, Light sleep, 73, 105, 55, 
2020-11-24T22:47:00.000Z, 2020-11-24T22:48:00.000Z, Light sleep, 59, 59, 59, 
2020-11-24T22:48:00.000Z, 2020-11-24T22:56:00.000Z, Light sleep, 57, 66, 55, 
2020-11-24T22:56:00.000Z, 2020-11-24T23:01:00.000Z, Deep sleep, 55, 56, 53, 
2020-11-24T23:01:00.000Z, 2020-11-24T23:05:00.000Z, Light sleep, 52, 55, 49, 
2020-11-24T23:05:00.000Z, 2020-11-24T23:20:00.000Z, Light sleep, 67, 75, 57, 
2020-11-24T23:20:00.000Z, 2020-11-24T23:26:00.000Z, Light sleep, 56, 56, 56, 
2020-11-24T23:26:00.000Z, 2020-11-24T23:27:00.000Z, Deep sleep, null
2020-11-24T23:27:00.000Z, 2020-11-24T23:28:00.000Z, Light sleep, null
2020-11-24T23:28:00.000Z, 2020-11-24T23:29:00.000Z, Light sleep, null
2020-11-24T23:29:00.000Z, 2020-11-24T23:55:00.000Z, Deep sleep, 56, 57, 55, 
2020-11-24T23:55:00.000Z, 2020-11-24T23:57:00.000Z, Deep sleep, null
2020-11-27T04:20:00.000Z, 2020-11-27T04:29:00.000Z, Light sleep, 49, 50, 48, 
2020-11-27T04:29:00.000Z, 2020-11-27T04:41:00.000Z, Deep sleep, 48, 52, 47, 
2020-11-27T04:41:00.000Z, 2020-11-27T04:52:00.000Z, Light sleep, 54, 74, 48, 
2020-11-27T04:52:00.000Z, 2020-11-27T05:02:00.000Z, Deep sleep, 49, 52, 48, 
2020-11-27T05:02:00.000Z, 2020-11-27T06:22:00.000Z, Light sleep, 54, 78, 47, 
2020-12-01T22:48:00.000Z, 2020-12-02T01:07:00.000Z, Light sleep, 61, 86, 47, 
2020-12-02T01:07:00.000Z, 2020-12-02T01:55:00.000Z, Deep sleep, 52, 55, 47, 
2020-12-02T01:55:00.000Z, 2020-12-02T02:29:00.000Z, Light sleep, 58, 74, 48, 
2020-12-02T02:29:00.000Z, 2020-12-02T03:55:00.000Z, Deep sleep, 49, 71, 44, 
2020-12-02T03:55:00.000Z, 2020-12-02T04:41:00.000Z, Light sleep, 54, 75, 45, 
2020-12-02T04:41:00.000Z, 2020-12-02T05:32:00.000Z, Deep sleep, 48, 55, 44, 
2020-12-02T05:32:00.000Z, 2020-12-02T05:39:00.000Z, Light sleep, 53, 59, 48, 
2020-12-02T05:39:00.000Z, 2020-12-02T05:47:00.000Z, Deep sleep, null
2020-12-02T05:47:00.000Z, 2020-12-02T05:55:00.000Z, Light sleep, 40, 40, 40, 
2020-12-02T05:55:00.000Z, 2020-12-02T06:05:00.000Z, Deep sleep, 49, 51, 48, 
2020-12-02T06:05:00.000Z, 2020-12-02T06:33:00.000Z, Light sleep, 62, 76, 49, 
2020-12-02T06:33:00.000Z, 2020-12-02T06:35:00.000Z, Awake (during sleep cycle), null
2020-12-02T06:35:00.000Z, 2020-12-02T07:23:00.000Z, Light sleep, 59, 94, 42, 
2020-12-02T23:17:00.000Z, 2020-12-02T23:43:00.000Z, Light sleep, 67, 76, 65, 
2020-12-02T23:43:00.000Z, 2020-12-02T23:51:00.000Z, Light sleep, null
2020-12-09T23:26:00.000Z, 2020-12-09T23:53:00.000Z, Light sleep, 70, 77, 63, 
2020-12-15T23:24:00.000Z, 2020-12-15T23:33:00.000Z, Deep sleep, 52, 53, 52, 
2020-12-15T23:33:00.000Z, 2020-12-15T23:36:00.000Z, Deep sleep, 47, 47, 47, 
2020-12-15T23:36:00.000Z, 2020-12-15T23:37:00.000Z, Deep sleep, null
2020-12-15T23:37:00.000Z, 2020-12-15T23:50:00.000Z, Deep sleep, 64, 78, 53, 
2021-01-11T01:27:00.000Z, 2021-01-11T01:56:00.000Z, Light sleep, null
