Begin,End,Activity,HRmean,HRmax,HRmin
2022-02-07T02:05:00.000Z, 2022-02-07T04:08:00.000Z, Light sleep, 73, 84, 69, 
2022-02-08T00:22:00.000Z, 2022-02-08T00:39:00.000Z, Light sleep, 74, 78, 64, 
2022-02-08T00:39:00.000Z, 2022-02-08T01:02:00.000Z, Deep sleep, 60, 63, 57, 
2022-02-08T01:02:00.000Z, 2022-02-08T01:13:00.000Z, Light sleep, 63, 78, 55, 
2022-02-08T01:13:00.000Z, 2022-02-08T01:35:00.000Z, Deep sleep, 55, 56, 54, 
2022-02-08T01:35:00.000Z, 2022-02-08T01:45:00.000Z, Light sleep, 68, 85, 56, 
2022-02-08T01:45:00.000Z, 2022-02-08T02:01:00.000Z, Deep sleep, 61, 86, 53, 
2022-02-08T02:01:00.000Z, 2022-02-08T02:11:00.000Z, Light sleep, 56, 64, 50, 
2022-02-08T02:11:00.000Z, 2022-02-08T02:39:00.000Z, Deep sleep, 57, 60, 55, 
2022-02-08T02:39:00.000Z, 2022-02-08T02:50:00.000Z, Light sleep, 55, 56, 55, 
2022-02-08T02:50:00.000Z, 2022-02-08T03:10:00.000Z, Deep sleep, null
2022-02-08T03:10:00.000Z, 2022-02-08T03:21:00.000Z, Light sleep, null
2022-02-08T03:21:00.000Z, 2022-02-08T03:32:00.000Z, Deep sleep, null
2022-02-08T03:32:00.000Z, 2022-02-08T03:42:00.000Z, Light sleep, 48, 48, 48, 
2022-02-08T03:42:00.000Z, 2022-02-08T04:12:00.000Z, Deep sleep, 54, 59, 52, 
2022-02-08T04:12:00.000Z, 2022-02-08T04:39:00.000Z, Light sleep, 55, 69, 48, 
2022-02-08T04:39:00.000Z, 2022-02-08T04:57:00.000Z, Deep sleep, 52, 55, 48, 
2022-02-08T04:57:00.000Z, 2022-02-08T05:07:00.000Z, Light sleep, 60, 85, 48, 
2022-02-08T05:07:00.000Z, 2022-02-08T05:17:00.000Z, Deep sleep, 56, 59, 55, 
2022-02-08T05:17:00.000Z, 2022-02-08T05:27:00.000Z, Light sleep, 59, 76, 55, 
2022-02-08T05:27:00.000Z, 2022-02-08T06:00:00.000Z, Deep sleep, null
2022-02-08T06:00:00.000Z, 2022-02-08T06:50:00.000Z, Light sleep, 55, 86, 45, 
2022-02-08T06:50:00.000Z, 2022-02-08T07:16:00.000Z, Deep sleep, 51, 59, 48, 
2022-02-08T07:16:00.000Z, 2022-02-08T08:15:00.000Z, Light sleep, 55, 75, 47, 
2022-02-08T08:15:00.000Z, 2022-02-08T08:30:00.000Z, Deep sleep, 58, 75, 52, 
2022-02-08T08:30:00.000Z, 2022-02-08T09:11:00.000Z, Light sleep, 60, 102, 48, 
