Begin,End,Activity,HRmean,HRmax,HRmin
2022-02-27T19:10:00.000Z, 2022-02-27T19:14:00.000Z, Walking,89, 97, 86, 
2022-02-27T21:13:00.000Z, 2022-02-27T21:19:00.000Z, Walking,90, 109, 76, 
2022-02-28T07:52:00.000Z, 2022-02-28T08:06:00.000Z, Other,92, 113, 74, 
2022-02-28T08:07:00.000Z, 2022-02-28T08:17:00.000Z, Walking,94, 109, 78, 
2022-02-28T12:45:00.000Z, 2022-02-28T12:50:00.000Z, Walking,77, 91, 71, 
2022-02-28T17:21:00.000Z, 2022-02-28T17:25:00.000Z, Walking,91, 97, 83, 
2022-02-28T18:46:00.000Z, 2022-02-28T18:53:00.000Z, Walking,102, 115, 86, 
2022-02-28T20:12:00.000Z, 2022-02-28T20:27:00.000Z, Other,77, 108, 55, 
2022-02-28T20:38:00.000Z, 2022-02-28T20:42:00.000Z, Walking,92, 103, 68, 
2022-03-01T10:04:00.000Z, 2022-03-01T10:10:00.000Z, Other,99, 105, 71, 
2022-03-01T11:51:00.000Z, 2022-03-01T11:58:00.000Z, Walking,89, 111, 72, 
2022-03-01T17:54:00.000Z, 2022-03-01T17:59:00.000Z, Walking,109, 118, 89, 
2022-03-01T18:00:00.000Z, 2022-03-01T18:06:00.000Z, Walking,89, 101, 77, 
2022-03-01T18:07:00.000Z, 2022-03-01T18:19:00.000Z, Walking,125, 134, 121, 
2022-03-01T18:39:00.000Z, 2022-03-01T19:06:00.000Z, Other,98, 125, 76, 
2022-03-01T19:17:00.000Z, 2022-03-01T19:23:00.000Z, Walking,97, 116, 75, 
2022-03-03T10:11:00.000Z, 2022-03-03T10:15:00.000Z, Walking,86, 89, 83, 
2022-03-03T17:51:00.000Z, 2022-03-03T18:02:00.000Z, Walking,84, 96, 75, 
2022-03-03T18:42:00.000Z, 2022-03-03T18:46:00.000Z, Walking,108, 117, 92, 
2022-03-04T12:39:00.000Z, 2022-03-04T13:08:00.000Z, Other,87, 115, 76, 
2022-03-04T22:22:00.000Z, 2022-03-04T22:27:00.000Z, Walking,89, 99, 85, 
2022-03-04T23:16:00.000Z, 2022-03-04T23:39:00.000Z, Other,94, 120, 74, 
2022-03-05T13:00:00.000Z, 2022-03-05T13:07:00.000Z, Walking,90, 113, 75, 
2022-03-05T18:12:00.000Z, 2022-03-05T18:28:00.000Z, Other,93, 114, 79, 
2022-03-05T18:29:00.000Z, 2022-03-05T18:34:00.000Z, Walking,128, 130, 127, 
2022-03-05T18:41:00.000Z, 2022-03-05T18:46:00.000Z, Walking,84, 96, 79, 
2022-03-06T09:39:00.000Z, 2022-03-06T09:47:00.000Z, Walking,84, 94, 70, 
2022-03-06T10:28:00.000Z, 2022-03-06T10:48:00.000Z, Other,90, 118, 56, 
2022-03-06T10:58:00.000Z, 2022-03-06T11:04:00.000Z, Walking,92, 104, 85, 
2022-03-06T17:28:00.000Z, 2022-03-06T17:39:00.000Z, Other,85, 99, 74, 
2022-03-06T17:44:00.000Z, 2022-03-06T17:53:00.000Z, Walking,130, 137, 123, 
2022-03-06T18:15:00.000Z, 2022-03-06T18:33:00.000Z, Other,99, 113, 75, 
2022-03-06T18:34:00.000Z, 2022-03-06T18:38:00.000Z, Walking,74, 79, 71, 
2022-03-06T18:40:00.000Z, 2022-03-06T18:55:00.000Z, Other,91, 125, 67, 
2022-03-07T08:17:00.000Z, 2022-03-07T08:24:00.000Z, Walking,107, 122, 80, 
2022-03-07T11:49:00.000Z, 2022-03-07T11:55:00.000Z, Walking,81, 99, 70, 
2022-03-07T12:36:00.000Z, 2022-03-07T12:40:00.000Z, Walking,97, 105, 89, 
2022-03-07T18:38:00.000Z, 2022-03-07T18:45:00.000Z, Walking,109, 121, 91, 
2022-03-07T19:25:00.000Z, 2022-03-07T19:37:00.000Z, Walking,94, 113, 72, 
2022-03-07T20:15:00.000Z, 2022-03-07T20:23:00.000Z, Walking,104, 124, 77, 
2022-03-07T20:24:00.000Z, 2022-03-07T20:37:00.000Z, Other,94, 118, 77, 
2022-03-07T20:41:00.000Z, 2022-03-07T20:50:00.000Z, Walking,96, 112, 83, 
2022-03-08T08:16:00.000Z, 2022-03-08T08:22:00.000Z, Walking,94, 113, 85, 
2022-03-08T08:23:00.000Z, 2022-03-08T08:30:00.000Z, Walking,95, 115, 85, 
2022-03-08T11:55:00.000Z, 2022-03-08T12:00:00.000Z, Walking,92, 98, 77, 
2022-03-08T13:48:00.000Z, 2022-03-08T13:53:00.000Z, Walking,124, 132, 113, 
2022-03-08T15:36:00.000Z, 2022-03-08T15:42:00.000Z, Walking,78, 100, 70, 
2022-03-08T18:48:00.000Z, 2022-03-08T18:53:00.000Z, Walking,104, 113, 89, 
